City,Crash Count,Crash Type,Latitude,Location,Longitude,Year
BURNABY,7,1 ,49.256427,BOUNDARY RD & DOMINION ST,-123.023649,2015
BURNABY,0 ,1 ,49.27643,BOUNDARY RD & DOUGLAS RD,-123.023522,2015
BURNABY,3,1 ,49.284744,BOUNDARY RD & DUNDAS ST & N BOUNDARY RD,-123.023452,2015
BURNABY,2,1 ,49.260096,BOUNDARY RD & E 11TH AVE,-123.023654,2015
BURNABY,3,1 ,49.254202,BOUNDARY RD & E 18TH AVE & LAUREL ST,-123.023656,2015
BURNABY,14,1 ,49.250655,BOUNDARY RD & E 22ND AVE & ELMWOOD ST,-123.023652,2015
BURNABY,4,1 ,49.247912,BOUNDARY RD & E 25TH AVE & FOREST ST,-123.023676,2015
BURNABY,0 ,1 ,49.247046,BOUNDARY RD & E 26TH AVE & SPRUCE ST,-123.023696,2015
BURNABY,2,1 ,49.229234,BOUNDARY RD & E 45TH AVE,-123.023512,2015
BURNABY,2,1 ,49.228093,BOUNDARY RD & E 46TH AVE,-123.023509,2015
BURNABY,0 ,1 ,49.226376,BOUNDARY RD & E 47TH AVE,-123.023523,2015
BURNABY,0 ,1 ,49.225198,BOUNDARY RD & E 48TH AVE,-123.023479,2015
BURNABY,35,1 ,49.221948,BOUNDARY RD & E 49TH AVE & IMPERIAL ST,-123.023697,2015
BURNABY,0 ,1 ,49.266627,BOUNDARY RD & E 4TH AVE,-123.023572,2015
BURNABY,2,1 ,49.278358,BOUNDARY RD & E GEORGIA ST & GEORGIA ST,-123.023528,2015
BURNABY,24,1 ,49.281139,BOUNDARY RD & E HASTINGS ST & HASTINGS ST,-123.023506,2015
BURNABY,0 ,1 ,49.204288,BOUNDARY RD & E KENT AVE N,-123.023425,2015
BURNABY,0 ,1 ,49.280231,BOUNDARY RD & E PENDER ST & PENDER ST,-123.023511,2015
BURNABY,66,1 ,49.258209,BOUNDARY RD & GRANDVIEW HWY,-123.023636,2015
BURNABY,0 ,1 ,49.271201,BOUNDARY RD & GRANT ST,-123.023561,2015
BURNABY,6,1 ,49.270289,BOUNDARY RD & GRAVELEY ST,-123.023569,2015
BURNABY,6,1 ,49.26366,BOUNDARY RD & HENNING DR,-123.023483,2015
BURNABY,5,1 ,49.248831,BOUNDARY RD & KINCAID ST,-123.023664,2015
BURNABY,61,1 ,49.232291,BOUNDARY RD & KINGSWAY,-123.023538,2015
BURNABY,2,1 ,49.272115,BOUNDARY RD & KITCHENER ST,-123.023549,2015
BURNABY,4,1 ,49.253309,BOUNDARY RD & LINWOOD ST,-123.02365,2015
BURNABY,31,1 ,49.26558,BOUNDARY RD & LOUGHEED HWY,-123.023589,2015
BURNABY,0 ,1 ,49.257327,BOUNDARY RD & MANOR ST,-123.023495,2015
BURNABY,15,1 ,49.208172,BOUNDARY RD & MARINE DR & SE MARINE DR,-123.023604,2015
BURNABY,25,1 ,49.205426,BOUNDARY RD & MARINE WAY & TURNING LANE,-123.023441,2015
BURNABY,8,1 ,49.242984,BOUNDARY RD & MOSCROP ST,-123.023627,2015
BURNABY,2,1 ,49.274875,BOUNDARY RD & NAPIER ST,-123.023534,2015
BURNABY,5,1 ,49.2515,BOUNDARY RD & NITHSDALE ST & NORMANDY DR,-123.023656,2015
BURNABY,0 ,1 ,49.282955,BOUNDARY RD & PANDORA ST,-123.02347,2015
BURNABY,8,1 ,49.275759,BOUNDARY RD & PARKER ST,-123.023534,2015
BURNABY,3,1 ,49.236212,BOUNDARY RD & RAE AVE,-123.023513,2015
BURNABY,4,1 ,49.214803,BOUNDARY RD & RUMBLE AVE & RUMBLE ST,-123.023636,2015
BURNABY,0 ,1 ,49.276652,BOUNDARY RD & VENABLES ST,-123.023409,2015
BURNABY,2,1 ,49.242057,BOUNDARY RD & WARREN ST,-123.023571,2015
BURNABY,0 ,1 ,49.274011,BOUNDARY RD & WILLIAM ST,-123.023539,2015
BURNABY,0 ,1 ,49.271473,BRAELAWN DR & SPRINGER AVE,-122.987894,2015
BURNABY,2,1 ,49.229303,BRANTFORD AVE & OAKLAND ST,-122.967772,2015
BURNABY,3,1 ,49.270168,BRENTLAWN DR & GRAVELEY ST & WILLINGDON AVE,-123.003158,2015
BURNABY,4,1 ,49.268043,BRENTWOOD MALL LOOP & HALIFAX ST & WILLINGDON AVE,-123.003137,2015
BURNABY,0 ,1 ,49.239875,BRIAR RD & CARIBOO RD,-122.90714,2015
BURNABY,0 ,1 ,49.239376,BRIARWOOD CRES & WILLINGDON AVE,-123.00338,2015
BURNABY,7,1 ,49.250802,BRIGHTON AVE & GOVERNMENT RD,-122.919011,2015
BURNABY,6,1 ,49.249927,BRIGHTON AVE & GOVERNMENT ST & WINSTON ST,-122.919024,2015
BURNABY,25,1 ,49.25327,BRIGHTON AVE & LOUGHEED HWY & PRODUCTION WAY,-122.918953,2015
BURNABY,20,1 ,49.218316,BRITTON ST & EDMONDS ST & KINGSWAY & TURNING LANE,-122.951539,2015
BURNABY,0 ,1 ,49.218241,BRITTON ST & KINGSWAY,-122.949992,2015
BURNABY,0 ,1 ,49.266393,BROADWAY & BUCHANAN DR,-122.985036,2015
BURNABY,6,1 ,49.262888,BROADWAY & COMO LAKE AVE & NORTH RD,-122.893127,2015
BURNABY,4,1 ,49.261052,BROADWAY & DUTHIE AVE,-122.953439,2015
BURNABY,3,1 ,49.260893,BROADWAY & FOREST GROVE DR & PRODUCTION WAY,-122.91456,2015
BURNABY,21,1 ,49.259996,BROADWAY & GAGLARDI WAY,-122.908803,2015
BURNABY,8,1 ,49.265757,BROADWAY & HOLDOM AVE,-122.98117,2015
BURNABY,15,1 ,49.262619,BROADWAY & KENSINGTON AVE,-122.970155,2015
BURNABY,0 ,1 ,49.260903,BROADWAY & LAWRENCE DR,-122.941252,2015
BURNABY,0 ,1 ,49.26542,BROADWAY & LOUGHEED HWY,-122.979999,2015
BURNABY,3,1 ,49.261569,BROADWAY & SPERLING AVE,-122.964657,2015
BURNABY,0 ,1 ,49.224777,BRYANT CRT & BRYANT ST & GRIFFITHS AVE,-122.961004,2015
BURNABY,0 ,1 ,49.224952,BRYANT ST & GILLEY AVE,-122.971976,2015
BURNABY,2,1 ,49.267096,BUCHANAN ST & FELL AVE,-122.975651,2015
BURNABY,0 ,1 ,49.267444,BUCHANAN ST & ROSSER AVE,-123.005997,2015
BURNABY,0 ,1 ,49.233935,BUCKINGHAM AVE & BURRIS ST,-122.957254,2015
BURNABY,3,1 ,49.221368,BULLER AVE & KINGSWAY,-122.977543,2015
BURNABY,0 ,1 ,49.213857,BULLER AVE & NEVILLE ST,-122.977465,2015
BURNABY,2,1 ,49.214789,BULLER AVE & RUMBLE ST,-122.977517,2015
BURNABY,0 ,1 ,49.236957,BURKE ST & INMAN AVE,-123.015846,2015
BURNABY,0 ,1 ,49.236976,BURKE ST & SMITH AVE,-123.019875,2015
BURNABY,2,1 ,49.22545,BURLINGTON AVE & KINGSWAY,-122.990325,2015
BURNABY,9,1 ,49.273648,BURNABY MOUNTAIN PKY & BURNABY MOUNTAIN PKY OFFRAMP & GAGLARDI WAY & GAGLARDI WAY OFFRAMP & UNIVERSITY DR E & UNIVERSITY DR E OFFRAMP,-122.925652,2015
BURNABY,3,1 ,49.274663,BURNABY MOUNTAIN PKY & CENTENNIAL WAY,-122.938334,2015
BURNABY,2,1 ,49.280276,BURNABY MOUNTAIN PKY & HASTINGS ST,-122.951218,2015
BURNABY,0 ,1 ,49.250833,BURNLAKE DR & GOVERNMENT RD,-122.924094,2015
BURNABY,0 ,1 ,49.225471,BURNS CRT & GRIFFITHS AVE,-122.961011,2015
BURNABY,0 ,1 ,49.270323,BURNWOOD DR & GREYSTONE DR,-122.945219,2015
BURNABY,35,1 ,49.235491,BURRIS ST & CANADA WAY,-122.954465,2015
BURNABY,0 ,1 ,49.23058,BURRIS ST & LEIBLY AVE,-122.963315,2015
BURNABY,0 ,1 ,49.231277,BURRIS ST & MALVERN AVE,-122.962056,2015
BURNABY,0 ,1 ,49.234416,BUXTON ST & NELSON AVE,-122.994219,2015
BURNABY,0 ,1 ,49.234403,BUXTON ST & ROYAL OAK AVE,-122.988115,2015
BURNABY,23,1 ,49.204864,BYRNE RD & MARINE DR & SOUTHRIDGE DR & TURNING LANE,-122.976067,2015
BURNABY,35,1 ,49.20201,BYRNE RD & MARINE WAY & TURNING LANE,-122.981899,2015
BURNABY,2,1 ,49.200838,BYRNE RD & MARKET XING,-122.984099,2015
BURNABY,0 ,1 ,49.204525,BYRNE RD & MEADOW AVE,-122.97728,2015
BURNABY,0 ,1 ,49.194855,BYRNE RD & NORTH FRASER WAY,-122.994944,2015
BURNABY,0 ,1 ,49.20478,BYRNE RD & TURNING LANE,-122.976756,2015
BURNABY,3,1 ,49.205726,BYRNEPARK DR & SOUTHRIDGE DR,-122.968398,2015
BURNABY,0 ,1 ,49.286525,CAMBRIDGE ST & N GILMORE AVE,-123.014058,2015
BURNABY,0 ,1 ,49.253433,CAMERON ST & MORREY CRT & MALL ACCESS,-122.896343,2015
BURNABY,8,1 ,49.253399,CAMERON ST & NORTH RD,-122.892914,2015
BURNABY,0 ,1 ,49.242549,CANADA WAY & CENTURY PARK WAY,-122.969824,2015
BURNABY,3,1 ,49.239086,CANADA WAY & CHISELHAMPTON ST,-122.961774,2015
BURNABY,19,1 ,49.245548,CANADA WAY & DEER LAKE PKY & NORLAND AVE,-122.974614,2015
BURNABY,3,1 ,49.249008,CANADA WAY & DOUGLAS RD,-122.980683,2015
BURNABY,49,1 ,49.224089,CANADA WAY & EDMONDS ST,-122.940994,2015
BURNABY,7,1 ,49.226613,CANADA WAY & ELWELL ST,-122.944108,2015
BURNABY,9,1 ,49.254657,CANADA WAY & GILMORE AVE,-123.013917,2015
BURNABY,4,1 ,49.254628,CANADA WAY & GILMORE DIVERS & GILMORE WAY,-123.010722,2015
BURNABY,47,1 ,49.241592,CANADA WAY & GILPIN ST & KENSINGTON AVE & TURNING LANE,-122.968214,2015
BURNABY,4,1 ,49.251933,CANADA WAY & HARDWICK ST,-122.989059,2015
BURNABY,22,1 ,49.229239,CANADA WAY & IMPERIAL ST,-122.947228,2015
BURNABY,2,1 ,49.253563,CANADA WAY & LAUREL ST & ROYAL OAK AVE,-122.989099,2015
BURNABY,0 ,1 ,49.244035,CANADA WAY & LEDGER AVE,-122.972036,2015
BURNABY,0 ,1 ,49.228548,CANADA WAY & MAYFIELD ST,-122.946401,2015
BURNABY,0 ,1 ,49.230525,CANADA WAY & MORLEY DR,-122.948767,2015
BURNABY,2,1 ,49.230777,CANADA WAY & MORLEY ST,-122.949062,2015
BURNABY,3,1 ,49.23424,CANADA WAY & PITT ST,-122.953078,2015
BURNABY,4,1 ,49.238072,CANADA WAY & RAYSIDE AVE,-122.958163,2015
BURNABY,3,1 ,49.225885,CANADA WAY & ROSEWOOD ST,-122.94323,2015
BURNABY,13,1 ,49.253089,CANADA WAY & ROYAL OAK AVE,-122.989041,2015
BURNABY,12,1 ,49.254685,CANADA WAY & SMITH AVE,-123.019784,2015
BURNABY,14,1 ,49.239789,CANADA WAY & SPERLING AVE,-122.964681,2015
BURNABY,10,1 ,49.249978,CANADA WAY & SPROTT ST,-122.982708,2015
BURNABY,3,1 ,49.232559,CANADA WAY & STANLEY CRES,-122.951172,2015
BURNABY,4,1 ,49.232818,CANADA WAY & STANLEY ST,-122.951471,2015
BURNABY,7,1 ,49.254673,CANADA WAY & SUMNER AVE,-123.008315,2015
BURNABY,8,1 ,49.254429,CANADA WAY & WAYBURNE DR,-122.993454,2015
BURNABY,39,1 ,49.254637,CANADA WAY & WILLINGDON AVE,-123.004255,2015
BURNABY,2,1 ,49.280317,CAPITOL DR & HASTINGS ST & HYTHE AVE,-122.99056,2015
BURNABY,0 ,1 ,49.247883,CARDSTON CRT & GOVERNMENT ST,-122.898848,2015
BURNABY,0 ,1 ,49.242912,CARIBOO DR & CARIBOO RD,-122.90894,2015
BURNABY,3,1 ,49.249394,CARIBOO PL & CARIBOO RD,-122.914355,2015
